title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Shaadi Ke Side Effects,tt3302962,2014.0,,Ekta Kapoor; Farhan Akhtar; Pritish Nandy; Saket Chaudhary; Shobha Kapoor; Vidya Balan,2010.0,6,False,
Siam-Burma Death Railway,tt3883834,2014.0,,,2010.0,0,False,
Singham Returns,tt2309764,2014.0,,Ajay Devgn; Amole Gupte; Anupam Kher; Ashwini Kalsekar; Dayanand Shetty; Govind Namdev; Kajal Aggarwal; Kareena Kapoor Khan; Mahesh Manjrekar; Pankaj Tripathi; Rohit Shetty; Sameer Dharmadhikari; Sharat Saxena; Zakir Hussain,2010.0,14,False,
The Backward Class,tt2187105,2014.0,,Madeleine Grant,2010.0,1,False,
Thirumanam Enum Nikkah,tt3421036,2014.0,,Anis; Jai; Nazriya Nazim; Viswanathan Ravichandran,2010.0,4,False,
Tigers (2014 film),tt3004774,2014.0,,Adil Hussain; Andy Paterson; Christoph Kottenkamp; Danis Tanović; Danny Huston; Emraan Hashmi; Frank-Otto Schenk; Geetanjali Thapa; Heino Ferch; Khalid Abdalla; Maryam d'Abo; Sam Reid; Supriya Pathak; Ulrike Hübschmann; Urs Remond; Wolfgang Krewe,2010.0,16,False,
Unfreedom,tt2049630,2014.0,,Adil Hussain; Ankur Vikal; Bhanu Uday; Raj Amit Kumar; Samrat Chakrabarti; Seema Rahmani; Victor Banerjee,2010.0,7,False,
Yaan (film),tt2571022,2014.0,"Yaan (transl. Me) is a 2014 Indian Tamil-language action thriller film written, directed and filmed by Ravi K. Chandran. It stars Jiiva and Thulasi Nair. This was the second and final Tamil film of leading actress, Thulasi as the latter further quoted of unable to enjoy the deeds of acting. As it never appealed to her taste. The film's soundtrack and score was composed by Harris Jayaraj, while editing and art direction were done by A. Sreekar Prasad and Sabu Cyril, respectively. Resul Pookutty was in charge of the sound mixing and Brinda was in charge of the choreography. The movie was reported to be based on the 1978 movie Midnight Express.",Arjunan; Bose Venkat; Elred Kumar; Jayaprakash; Jiiva; Karunakaran; Nassar; Nawab Shah; Neha Chauhan; Pawan Chopra; Ravi K. Chandran; Thambi Ramaiah; Thulasi Nair,2010.0,13,True,Tamil
Yellow (2014 film),tt3651028,2014.0,,Mahesh Limaye; Mrinal Dev-Kulkarni; Riteish Deshmukh,2010.0,3,False,
3 Idiots,tt1187043,2013.0,"3 Idiots is a 2009 Indian Hindi-language coming-of-age comedy-drama film written, edited and directed by Rajkumar Hirani, co-written by Abhijat Joshi and produced by Vidhu Vinod Chopra. The film stars Aamir Khan, R. Madhavan and Sharman Joshi in the title roles, while Kareena Kapoor, Boman Irani, Mona Singh and Omi Vaidya co-star. Narrated through two parallel timelines, one in the present and the other set ten years earlier, the story follows the friendship of three students at an Indian engineering college and is a satire about the intrinsic paternalism under the Indian education system.",Aamir Khan; Abhijat Joshi; Boman Irani; Javed Jaffrey; Kareena Kapoor Khan; Mona Singh; Omi Vaidya; Parikshit Sahni; R. Madhavan; Rajkumar Hirani; Sharman Joshi; Vidhu Vinod Chopra,2010.0,12,True,Hindi
498A: The Wedding Gift,tt2417504,2013.0,"498A: The Wedding Gift is a 2012 drama film set in New Delhi, India. It is written and directed by Suhaib Ilyasi and depicts the misuse of anti-dowry laws.",Farida Jalal; Suhaib Ilyasi,2010.0,2,True,
Aadhalal Kadhal Seiveer,tt2419576,2013.0,"Aadhalal Kadhal Seiveer is a 2013 Indian Tamil language romantic drama film directed by Suseenthiran. It features debutant Santhosh Ramesh and Manisha Yadav of Vazhakku Enn 18/9 fame in the lead roles. It is produced by Nallu Studios and music by Yuvan Shankar Raja. Cinematography is by Soorya A. R., editing by Antony, stunts by Anal Arasu, lyrics by Vaali and Yugabharathi. The film released with highly positive reviews. The film was remade in Kannada as Naduve Antaravirali (2018).",Suseenthiran,2010.0,1,True,Tamil
Aajcha Divas Majha,tt3345830,2013.0,"Aajcha Divas Majha is a Marathi-language political drama film released on 29 March 2013. Produced by Puja Chhabria and directed by Chandrakant Kulkarni. The film stars Sachin Khedekar, Ashwini Bhave and Mahesh Manjrekar. The film's music is by Ashok Patki and Mangesh Dhadke.",Ashwini Bhave; Chandrakant Kulkarni; Mahesh Manjrekar; Sachin Khedekar,2010.0,4,True,Marathi
All in All Azhagu Raja,tt3253476,2013.0,"All in All Azhagu Raja is a 2013 Indian Tamil-language romantic comedy film written and directed by M. Rajesh. The film stars Karthi in dual lead roles with Prabhu, Kajal Aggarwal, Santhanam, Radhika Apte, and Saranya Ponvannan in the supporting roles. The music was composed by S. Thaman with cinematography by Sakthi Saravanan and editing by Vivek Harshan. The film was released on 2 November 2013, coinciding with Diwali, and received negative reviews from critics.",K. E. Gnanavel Raja; Karthik Siva kumar; M. Rajesh,2010.0,3,True,Tamil
Ameerin Aadhi-Bhagavan,tt1671446,2013.0,"Ameerin Aadhi-Bhagavan previously known as Aadhi Bhagavan, is a 2013 Indian Tamil-language action film written and directed by Ameer. Produced by DMK politician J. Anbazhagan, the film stars Ravi Mohan in the titular dual role as the hero (Aadhi) and villain (Bhagavan) along with Neetu Chandra, Saiju Kurup and Sudha Chandran. The film follows Aadhi, a Thailand-based gangster living separately from his mother and sister due to his criminal activities. His life changes when he rescues a young waitress from goons and soon finds himself drawn in a violent conspiracy hatched by Bhagavan, his Mumbai-based lookalike.",Ameer Sultan; J. Anbazhagan; Jayam Ravi; Neetu Chandra; Sudha Chandran,2010.0,5,True,Tamil
Andhar Bahar,tt3317970,2013.0,Andar Baahar is a 2013 Kannada action film starring Shiva Rajkumar and Parvathy in the lead. The film is directed by Phaneesh Ramanathapura and produced by a host of USA Kannadiga friends under the Legends International Group banner. Popular playback singer Vijay Prakash made his debut as a music composer for this film.,Arundathi Nag; Parvathy Thiruvothu; Shashi Kumar; Shiva Rajkumar,2010.0,4,True,
