title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Devathai,tt0313964,1997.0,"Devathai (transl. Angel) is a 1997 Indian Tamil-language supernatural thriller film written, directed and produced by Nassar. The film stars himself, Keerthi Reddy and Vineeth, while the film's score and soundtrack are composed by Ilaiyaraaja. The film released in June 1997 to positive reviews, however it ended up becoming an average grosser at the box office. The film's story was loosely based on 1992 American film Bram Stoker's Dracula and novel of the same name.",Keerthi Reddy; Nassar; Vineeth,1990.0,3,True,Tamil
Dharma Chakkaram,tt4488906,1997.0,,Deva; K. S. Ravikumar; Vijayakanth,1990.0,3,False,
Dhinamum Ennai Gavani,,1997.0,,A. R. Ramesh,1990.0,1,False,
Divine Lovers,tt0301203,1997.0,,Babbar Subhash; Hemant Birje,1990.0,2,False,
Ettupatti Rasa,tt8948586,1997.0,,Kasthuri Raja; Napoleon; Pyramid Natarajan,1990.0,3,False,
Ganga Gowri (1997 film),tt8954518,1997.0,,Sirpy,1990.0,1,False,
Gopura Deepam,tt8954992,1997.0,,Ramarajan,1990.0,1,False,
Iruvar,tt0119385,1997.0,"Iruvar is a 1997 Indian Tamil-language epic political drama film co-written, produced, and directed by Mani Ratnam. The film, inspired by the lives of M. G. Ramachandran, M. Karunanidhi and J. Jayalalithaa, is set against the backdrop of cinema and politics in Tamil Nadu. It stars an ensemble cast including Mohanlal, Prakash Raj, Aishwarya Rai, Revathi, Gautami, Tabu, and Nassar. Rai, who was crowned Miss World 1994, made her first screen appearance, playing dual characters.",Aishwarya Rai Bachchan; G. Srinivasan; Gautami Tadimalla; Mani Ratnam; Mohanlal; Prakash Raj; Revathi; Suhasini Maniratnam; Tabu,1990.0,9,True,Tamil
Janakiraman,tt15151454,1997.0,,Goundamani; Nagma; R. Sarathkumar; Rambha (actress); Sundar C,1990.0,5,False,
Kaadhali (1997 film),,1997.0,,,1990.0,0,False,
Kaalamellam Kaathiruppen,tt6827136,1997.0,,Karan; R. Sundarrajan; Vijay,1990.0,3,False,
Kaalamellam Kadhal Vaazhga,tt8976818,1997.0,,Kausalya; Murali; R. Balu; Sivasakthi Pandian,1990.0,4,False,
Kadavul,tt0317792,1997.0,,Manivannan; Roja; Velu Prabhakaran,1990.0,3,False,
Kadhalukku Mariyadhai,tt0316078,1997.0,,Fazil; Gokula Krishnan; Sangili Murugan; Vijay,1990.0,4,False,
Kahini,tt0113514,1997.0,,Dhritiman Chatterjee; Robi Ghosh,1990.0,2,False,
Kalyana Vaibhogam,tt27996924,1997.0,,Deva,1990.0,1,False,
Kama Sutra: A Tale of Love,tt0116743,1997.0,,Arundathi Nag; Indira Varma; Mira Nair; Naveen Andrews; Ramon Tikaram; Rekhā; Sarita Choudhury,1990.0,7,False,
Kathirunda Kadhal,tt8976960,1997.0,,Arun Vijay,1990.0,1,False,
Lal Darja,tt0142521,1997.0,,Biplab Chatterjee; Buddhadeb Dasgupta; Haradhan Bandopadhyay; Indrani Haldar; Raisul Islam Asad; Subhendu Chatterjee,1990.0,6,False,
Love Today (1997 film),tt6827298,1997.0,,Balasekaran; Raasi; Raghuvaran; Suvalakshmi; Vijay; shajimon,1990.0,6,False,
Mannava (film),tt11576150,1997.0,,Prashanth,1990.0,1,False,
Mappillai Gounder,tt9045202,1997.0,,Manivasagam; Prabhu Ganesan,1990.0,2,False,
