title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Pattanathil Bhootham,tt0259492,1967.0,"Pattanathil Bhootham is a 1967 Indian Tamil-language fantasy comedy film, directed and co-edited by M. V. Raman, written by Javar Seetharaman and produced by Venus Pictures. An adaptation of the American film The Brass Bottle (1964), it stars Jaishankar and K. R. Vijaya, with Nagesh, Balaji, Manohar, V. K. Ramasamy, V. S. Raghavan, Seetharaman, Rama Prabha and Vijaya Lalitha in supporting roles. The film revolves around two youngsters who inadvertently unleash a genie from an urn they won, and use him to satisfy their wants. It was released on 14 April 1967 and became a major commercial success.",Jaishankar; Javar Seetharaman; K. R. Vijaya; M.V. Raman; Nagesh; V. K. Ramasamy,1960.0,6,True,Tamil
Pattathu Rani,tt1404073,1967.0,,S. Raamanathan,1960.0,1,False,
Penn Endral Penn,tt1464285,1967.0,,Aaroor Dass; Gemini Ganesan,1960.0,2,False,
Penne Nee Vaazhga,tt3442678,1967.0,,Jaishankar; P. Madhavan,1960.0,2,False,
Pesum Deivam,tt0216077,1967.0,,Jaishankar; K. S. Gopalakrishnan; Sivaji Ganesan,1960.0,3,False,
Poola Rangadu (1967 film),tt0263879,1967.0,,Adurthi Subba Rao; Akkineni Nageswara Rao; Allu Rama Lingaiah; Basavaraju Venkata Padmanabha Rao; Chalam; Chittoor Nagaiah; D. Madhusudhana Rao; Gummadi Venkateswara Rao; Jamuna; Mullapudi Venkata Ramana; Sobhan Babu; Vijaya Nirmala,1960.0,12,False,
Private Master,tt0371098,1967.0,,Allu Rama Lingaiah; Gummadi Venkateswara Rao; Kanchana; Kasinathuni Viswanath; Krishna Ghattamaneni; Mullapudi Venkata Ramana; Relangi Venkata Ramaiah; Sukanya,1960.0,8,False,
Punyavathi,tt8816830,1967.0,,D. V. Narasa Raju,1960.0,1,False,
Rahasyam (1967 film),tt0282888,1967.0,,Akkineni Nageswara Rao; Anjali Devi; B. Saroja Devi; Chittoor Nagaiah; Garikapati Varalakshmi; Gummadi Venkateswara Rao; Kanta Rao; Rajasree; Ramana Reddy; Relangi Venkata Ramaiah; S. V. Ranga Rao; Vedantam Raghavaiah,1960.0,12,False,
Raja Veetu Pillai,tt2215433,1967.0,,Jaishankar,1960.0,1,False,
Sabash Thambi,tt33355417,1967.0,,Jaishankar,1960.0,1,False,
Sakshi (film),tt0156034,1967.0,,Bapu; Krishna Ghattamaneni; Mullapudi Venkata Ramana; Raja Babu; Sakshi Ranga Rao; Tammareddy Chalapathi Rao; Vijaya Lalitha; Vijaya Nirmala,1960.0,8,False,
Seetha (1967 film),tt0246920,1967.0,,A. P. Nagarajan; Gemini Ganesan,1960.0,2,False,
Selva Magal,tt5759934,1967.0,,Jaishankar,1960.0,1,False,
Sri Krishnavataram,tt0263997,1967.0,,Chittoor Nagaiah; Devika; Kaikala Satyanarayana; Kamalakara Kameshwara Rao; Mudigonda Lingamurthy; N. T. Rama Rao; Rajanala Kaleswara Rao; Sobhan Babu; Tirupati Venkata Kavulu,1960.0,9,False,
Sri Sri Sri Maryada Ramanna,tt0290871,1967.0,,Basavaraju Venkata Padmanabha Rao; Haranath; Hemambharadhara Rao K.; Kaikala Satyanarayana; Krishna Ghattamaneni; Mukkamala; Rajanala Kaleswara Rao; Ramakrishna,1960.0,8,False,
Stree Janma,tt0254798,1967.0,,D. Ramanaidu; Kovelamudi Surya Prakash Rao; Samudrala Ramanujacharya,1960.0,3,False,
Thaikku Thalaimagan,tt0318746,1967.0,,M. A. Thirumugam; M. G. Ramachandran; Sandow M. M. A. Chinnappa Thevar,1960.0,3,False,
Thanga Thambi,tt0318750,1967.0,,Manorama; Muthuvel Karunanidhi; Nagesh; Ravichandran,1960.0,4,False,
Thangai,tt0318751,1967.0,,A. C. Tirulokchandar; K. Balaji; Sivaji Ganesan,1960.0,3,False,
Thavapudhalavan,tt0370010,1967.0,,Muktha Ramaswamy; Muktha Srinivasan; Sivaji Ganesan,1960.0,3,False,
Thiruvarutchelvar,tt0246985,1967.0,"Thiruvarutchelvar is a 1967 Indian Tamil-language Hindu mythological film, directed and produced by A. P. Nagarajan. The film stars Sivaji Ganesan, Gemini Ganesan, Savitri and Padmini. It was released on 28 July 1967, and ran for 100 days successfully in theatres.",A. P. Nagarajan; Sivaji Ganesan,1960.0,2,True,Tamil
Through the Eyes of a Painter,tt0232801,1967.0,,M. F. Husain,1960.0,1,False,
Ummadi Kutumbam,tt0264126,1967.0,,Dasari Yoganand; Kaikala Satyanarayana; Krishna Kumari; M. Prabhakar Reddy; N. T. Rama Rao; N. Trivikrama Rao; Samudrala Ramanujacharya; Savitri; Vanisri,1960.0,9,False,
Uyir Mel Aasai,tt3442708,1967.0,,Jambulingam,1960.0,1,False,
Valiba Virundhu,tt3442714,1967.0,,Murasoli Maran; Muthuvel Karunanidhi; Ravichandran,1960.0,3,False,
Vasantha Sena (1967 film),tt0261383,1967.0,"Vasantha Sena is a 1967 Telugu-language historical drama film, produced and directed by B. S. Ranga under the Vikram Studios banner. It stars Akkineni Nageswara Rao and Krishna Kumari, with music composed by S. Rajeswara Rao. The film is based on the Sanskrit Stage drama, Mṛcchakatika by Śūdraka of 5th century AD. It was Padmini's last Telugu movie.",B. S. Ranga; Samudrala Raghavacharya,1960.0,2,True,Telugu
Vivasayi,tt1477110,1967.0,,K. R. Vijaya; M. A. Thirumugam; M. G. Ramachandran; M. N. Nambiar; Manorama; Nagesh; S. A. Ashokan; Sandow M. M. A. Chinnappa Thevar,1960.0,8,False,
Aakhri Khat,tt0140784,1966.0,"Aakhri Khat is a 1966 Bollywood film written and directed by Chetan Anand. This film marked the debut of Rajesh Khanna. The music of the film is by Khayyam and lyrics by Kaifi Azmi; it includes the song ""Baharon Mera Jeevan Bhi Sanwaro"", sung by Lata Mangeshkar.",Chetan Anand; Rajesh Khanna,1960.0,2,True,
Aame Evaru?,tt2006047,1966.0,"Aame Evaru? is a 1966 Indian Telugu-language psychological thriller film, produced and directed by B. S. Narayana. It stars Jaggayya and Jayalalitha with Vanisri, Prabhakar Reddy, Rajababu, Nagabhushanam, Radha and K. Malathi as part of the supporting cast. Music is by Vedha. Lyrics were written by Dasaradhi. The film is a remake of the 1964 Hindi hit film Woh Kaun Thi?.",B. S. Narayana; Kongara Jaggayya; P. S. Veerappa,1960.0,3,True,Telugu
Aasra,tt0156257,1966.0,"Aasra is a 1966 Hindi movie produced by Madan Mohla and directed by Satyen Bose. The film stars Biswajeet, Mala Sinha, Balraj Sahni, Nirupa Roy and Jagdeep. The film's music is by Laxmikant-Pyarelal. The movie is a remake of the 1961 Bengali movie Madhyarater Tara.",Biswajit Chatterjee; Mala Sinha; Satyen Bose,1960.0,3,True,
Aastiparulu,tt0260676,1966.0,"Aastiparulu is a 1966 Indian Telugu-language drama film, produced by V. B. Rajendra Prasad and directed by V. Madhusudhana Rao. It stars Akkineni Nageswara Rao and Jayalalithaa, with music composed by K. V. Mahadevan. The film was remade in Tamil as En Thambi and in Hindi as Bhai Ho To Aisa. The storyline was also an inspiration for the 2008 Telugu film King (2008).",Aathreya; Akkineni Nageswara Rao; Garikapati Varalakshmi; Gummadi Venkateswara Rao; Jayaram Jayalalithaa; Kongara Jaggayya; V. B. Rajendra Prasad; V. Madhusudhan Rao,1960.0,8,True,Telugu
Aaye Din Bahar Ke,tt0229952,1966.0,"Aaye Din Bahar Ke is a 1966 Indian Hindi-language film produced by J. Om Prakash. The film stars Dharmendra, Asha Parekh, Sulochana Devi, Balraj Sahni, Nazima and Rajindernath.",Asha Parekh; Balraj Sahni; Dharmendra; J. Om Prakash; Raghunath Jhalani,1960.0,5,True,Hindi
Adugu Jaadalu,tt0157292,1966.0,"Adugu Jaadalu (transl. Footsteps) is a 1966 Indian Telugu-language philosophical film, produced by the M. Sambasiva Rao, G. Vandanamon under Nava Jyothi Films banner It stars N. T. Rama Rao, Jamuna, S. V. Ranga Rao with music composed by Master Venu.",Samudrala Ramanujacharya; Tapi Chanakya,1960.0,2,True,Telugu
